Bear,Datetime_behavior_starts,Datetime_behavior_ends,Behavior,Comments
1,4/8/2014 16:14:23,4/8/2014 16:15:23,laying,resting
1,4/8/2014 16:16:23,4/8/2014 16:17:23,laying,head movement
1,4/8/2014 16:18:23,4/8/2014 16:19:23,laying,head movement
1,4/8/2014 16:20:23,4/8/2014 16:21:23,laying,resting
1,4/8/2014 16:22:23,4/8/2014 16:23:23,laying,some head movement
1,4/8/2014 16:24:23,4/8/2014 16:25:23,laying,some head movement
1,4/8/2014 16:26:23,4/8/2014 16:27:23,laying,resting
1,4/8/2014 16:28:23,4/8/2014 16:29:23,laying,resting
1,4/8/2014 16:30:23,4/8/2014 16:31:13,laying,resting
1,4/8/2014 16:42:37,4/8/2014 16:43:27,laying,resting
1,4/8/2014 16:44:23,4/8/2014 16:45:23,laying,resting
1,4/8/2014 16:46:23,4/8/2014 16:47:23,laying,resting
1,4/8/2014 16:48:23,4/8/2014 16:49:23,laying,some head movement
1,4/8/2014 16:50:23,4/8/2014 16:51:23,laying,resting
1,4/8/2014 16:52:23,4/8/2014 16:53:23,laying,resting
1,4/8/2014 16:54:23,4/8/2014 16:55:23,laying,resting
1,4/8/2014 16:56:23,4/8/2014 16:57:23,laying,resting
1,4/8/2014 16:58:23,4/8/2014 16:59:23,laying,resting
1,4/8/2014 17:00:23,4/8/2014 17:01:23,laying,resting
1,4/8/2014 17:02:23,4/8/2014 17:03:23,laying,some head movement
1,4/8/2014 17:04:23,4/8/2014 17:05:23,laying,some head movement
1,4/8/2014 17:06:23,4/8/2014 17:07:23,laying,resting
1,4/8/2014 17:08:23,4/8/2014 17:09:23,laying,resting
1,4/8/2014 17:10:23,4/8/2014 17:11:23,laying,head movement
1,4/8/2014 17:12:23,4/8/2014 17:13:23,laying,head movement
1,4/8/2014 17:14:23,4/8/2014 17:15:23,grooming,while laying
1,4/8/2014 17:16:23,4/8/2014 17:17:23,grooming,while laying
1,4/8/2014 17:18:23,4/8/2014 17:19:23,grooming,while laying
1,4/8/2014 17:20:23,4/8/2014 17:21:23,grooming,while laying
1,4/8/2014 17:22:23,4/8/2014 17:23:23,laying,resting
1,4/8/2014 17:24:23,4/8/2014 17:25:23,laying,resting
1,4/8/2014 17:26:23,4/8/2014 17:27:23,laying,resting
1,4/8/2014 17:28:23,4/8/2014 17:29:23,laying,resting
1,4/8/2014 17:30:23,4/8/2014 17:31:23,laying,resting
1,4/8/2014 17:32:23,4/8/2014 17:33:23,laying,resting
1,4/8/2014 17:34:23,4/8/2014 17:35:23,laying,resting
1,4/8/2014 17:36:23,4/8/2014 17:37:23,laying,some head movement
1,4/8/2014 17:38:23,4/8/2014 17:39:23,laying,resting
